Id,Title,Uri,Rank,Sale7,SaleAll,Volumn7,VolumnAll
cG9zdDoyMzEwMg==,AlphaSharks,/project/alphasharks/,112,32,10319,14658.62101952,10204422.233467842
cG9zdDoxMTg1MA==,Avenged Sevenfold,/project/avengedsevenfold/,113,39,12982,14637.98835,4481670.595856379
cG9zdDoyNTI1,League of Kingdoms,/project/leagueofkingdoms/,114,39,11537,14203.631314993056,8338994.257925534
cG9zdDo2MjEw,Rumble Kong League,/project/rumblekongleague/,115,14,18061,13359.549039000001,67799997.45710944
cG9zdDoxMDI3Nw==,Worldwide Webb,/project/worldwidewebb/,116,32,34643,13221.64167583,82814347.05685282
cG9zdDoyMzk=,Known Origin,/project/knownorigin/,117,451,78977,13052.563736096952,38930472.95084524
cG9zdDoxMjA3MA==,Samurai Saga,/project/samuraisaga/,118,68,28179,13020.268334835,16852915.175952096
cG9zdDo2NDc2MA==,[ Ledger ] Market,/project/ledger/,119,67,31337,12456.116703542666,13155435.83447425
cG9zdDoxMjAyMw==,Apocalyptic Apes,/project/apocalypticapes/,120,91,46005,12226.851372394744,34273883.09299694
cG9zdDoxMTg4Mg==,Coolman’s Universe,/project/coolmansuniverse/,121,95,42894,11656.8922484922,78808782.83650087
cG9zdDo2ODgwNQ==,POSers,/project/posers/,122,63,18213,11114.615234908,2516114.5260715927
cG9zdDoyMzM5MQ==,Moonrunners,/project/moonrunners/,123,77,40207,10927.511323105,12057602.662937025
cG9zdDoyODc0Nzc=,Art Gobblers,/project/artgobblers/,124,19,5170,10711.830777726742,67574046.14991027
cG9zdDoxMjE3OA==,Gray Boys,/project/grayboys/,125,59,24593,10336.58854564,22868627.506391983
cG9zdDozNDE5,Hashmasks,/project/hashmasks/,126,29,37316,10144.217577498857,105180002.48178907
cG9zdDoyODc2NDY=,The Lobstars,/project/thelobstars/,127,70,21078,10007.14302292,7370284.916077514
cG9zdDo2NTU2MQ==,CryptoPhunks,/project/cryptophunks/,128,23,29232,9975.658400820608,61924862.10613822
cG9zdDoxMjA2Mg==,Creepz,/project/coldbloodedcreepz/,129,40,59519,9770.097855748323,163283688.61988935
cG9zdDoxMzU1MQ==,Karafuru,/project/karafuru/,130,65,36900,9637.997111272,141663235.6433675
cG9zdDoyODc4NDc=,Hedgies,/project/hedgies/,131,15,2896,9536.0690832805,6862311.408859081
cG9zdDoyMzA4Mw==,Akumu Dragonz,/project/akumudragonz/,132,105,19418,9288.7182534525,11919934.267744161
cG9zdDo2MDQ0,The Doge Pound,/project/thedogepound/,133,46,39904,9132.407762932835,112325318.94171749
cG9zdDo2NTg5Ng==,finiliar,/project/finiliar/,134,23,29324,9111.590006561006,7588032.086478076
cG9zdDoxMTE3Nw==,Private Jet Pyjama Party,/project/privatejetpyjamaparty/,135,26,13498,9073.6782397,12563203.110438222
cG9zdDo2ODc1Ng==,Looki,/project/looki/,136,11,3030,8969.513894,5227706.643519392
cG9zdDoxMzUyOQ==,HAPE Prime,/project/hapeprime/,137,21,25597,8882.745927357,165654005.7449245
cG9zdDo3MTgz,Creature World,/project/creatureworld/,138,45,38716,8619.152540192,123573610.95860787
cG9zdDoxMTg3NQ==,Prime Ape Planet,/project/primeapeplanet/,139,58,47992,8531.22493475,131731395.06044018
cG9zdDoyMjkzOA==,Boki,/project/boki/,140,93,35901,8315.7488877535,20117620.472990606
cG9zdDoxMDQyMQ==,Crypto Bull Society,/project/cryptobullsociety/,141,60,25031,8287.327812476047,62219388.33656392
cG9zdDo2NzQ0,Fame Lady Squad,/project/fameladysquad/,142,78,28404,8009.262300736634,9721653.178418204
cG9zdDoyODgyNDk=,Adidas,/project/adidas/,143,79,7119,7988.395150424,2433966.532214627
cG9zdDoxODg0Mw==,3Landers,/project/3landers/,144,61,37779,7884.84158370721,104340433.18956605
cG9zdDoyODc4NTk=,Fusionist,/project/fusionist/,145,1,514,7620.875000000001,4119833.922423026
cG9zdDo4ODg1,Boss Beauties,/project/bossbeauties/,146,42,32671,7314.544381308781,49126252.26731602
cG9zdDoxMzU3MA==,Flooz,/project/flooz/,147,13,22534,7281.810099,19311700.128343455
cG9zdDo3MjM1MA==,CryptoSimeji,/project/cryptosimeji/,148,131,32513,7100.164182736212,5777961.96623853
cG9zdDo3ODEx,MekaVerse,/project/mekaverse/,149,19,25697,7083.2017375349915,183734683.47647455
cG9zdDoyMTA3Mw==,EightBit Me,/project/eightbitme/,150,48,27282,6904.332129785102,25200472.69035771
cG9zdDo5ODE2,Rebel Bots,/project/rebelbots/,151,27,16608,6809.2059706,10788243.283409202
cG9zdDoyMjQ=,Voxels (formerly Cryptovoxels),/project/cryptovoxels/,152,9,14330,6608.051890610001,42533435.01354048
cG9zdDoyMzEzMQ==,Nuclear Nerds,/project/nuclearnerds/,153,28,27131,6332.70054141,16401158.447416043
cG9zdDo1MjI3,Bastard Gan Punks,/project/bastardganpunks/,154,24,29190,6119.693286979249,33350803.667140953
cG9zdDo0NDA=,MegaCryptoPolis,/project/megacryptopolis/,155,15,91325,5935.677875982143,4900323.173827656
cG9zdDo1MDA=,Somnium Space,/project/somniumspace/,156,2,6168,5794.25287762,31299659.64184194
cG9zdDoyMDUxOA==,The Walking Dead,/project/thewalkingdead/,157,23,29315,5787.209364037795,13032988.881424064
cG9zdDoxMDU2,CryptoArte,/project/cryptoarte/,158,33,21232,5561.7024095,21656581.08138477
cG9zdDo2NDkxMQ==,NFTiff by Tiffany & Co.,/project/tiffany/,159,1,339,5505.48,16471749.24903553
cG9zdDo2NTg4Mg==,Isekai Meta,/project/isekaimeta/,160,52,25696,5482.937676119,9082426.691653432
cG9zdDo3NTg2,Crypto Chicks,/project/cryptochicks/,161,34,35296,5351.65594701,37500379.01312248
cG9zdDo1MzU3,Foundation,/project/foundation/,162,10,60617,5283.83445,152537608.32621282
cG9zdDo3MTE2,Mutant Garden Seeder,/project/mutantgardenseeder/,163,1,1115,4871.649410450001,12217797.610786794
cG9zdDo2MzIw,Warriors of Aradena,/project/warriorsofaradena/,164,13,17850,4764.956694775148,5097468.6597546
cG9zdDo2NjE1OA==,Jarritos,/project/jarritos/,165,10,2139,4554.3815328,914281.4382322838
cG9zdDoyMTAyNg==,MURI,/project/muri/,166,35,26383,4307.67732047,53885608.05021133
cG9zdDo2ODc3MA==,Astrobot Society,/project/astrobotsociety/,167,12,1959,3960.8833975000002,1639935.882017316
cG9zdDoyMzA0OA==,Mindblowon,/project/mindblowon/,168,64,17305,3779.7949756010285,14281016.079247886
cG9zdDoyMzM0Nw==,Phanta Bear,/project/phantabear/,169,17,34371,3779.07610048792,120176479.835434
cG9zdDoxNjc4NQ==,Crypto Coven,/project/cryptocoven/,170,18,20103,3774.9479471441914,26854191.30188287
cG9zdDoyMTQ1Mg==,Regulars,/project/regulars/,171,31,23694,3760.8629807674997,7678234.061702697
cG9zdDo1NjAw,The Alien Boy,/project/thealienboy/,172,28,30842,3754.0838877,9493921.413459634
cG9zdDo2ODg0Mg==,The Stoics,/project/thestoics/,173,19,10184,3691.33729438213,2845821.020652846
cG9zdDoxMjYxOA==,EtherLambos,/project/etherlambos/,174,11,3647,3597.1290400999997,15316912.07593375
cG9zdDo2NTA0NQ==,SuperNormal,/project/supernormal/,175,7,26826,3447.9919330000002,73338465.6699707
cG9zdDoyODc3MDA=,Gossamer World,/project/gossamerworld/,176,58,42633,3356.1854293300003,8891584.223401837
cG9zdDoxMjk3NQ==,Killer GF,/project/killergf/,177,16,19462,3345.058386047645,52770915.98641874
cG9zdDoyODc2NzI=,Doge Club,/project/dogeclub/,178,55,26869,3333.200050724998,3319494.801945775
cG9zdDoyMjEx,Chainfaces,/project/chainfaces/,179,27,15519,3289.5343797281303,2113272.9569885456
cG9zdDoxMTg5MA==,inBetweeners,/project/inbetweeners/,180,21,19510,3285.24375812,47674771.49760778
cG9zdDoxMjU0OA==,Nanoverse,/project/nanoverse/,181,28,17940,3198.7840611,61971166.501215324
cG9zdDoyMTM0MA==,Arcade,/project/arcade/,182,28,17668,3171.039108515,43685925.06781122
cG9zdDoyMzY1Mg==,The Possessed,/project/thepossessed/,183,41,27616,3020.2579206,10241152.583720952
cG9zdDo5NzQw,Furballs,/project/furballs/,184,28,6496,3014.02684352,9963666.803267626
cG9zdDo1MTc4,Blitmap,/project/blitmap/,185,2,3391,2983.606479024,37549162.415171795
cG9zdDoxMTk2Ng==,Shiba Social Club,/project/shibasocialclub/,186,60,30957,2827.87553646,38589984.381450854
cG9zdDo5MTk5,ALPACADABRAZ,/project/alpacadabraz/,187,18,47404,2823.0216301,50137215.83044227
cG9zdDoyODc2Mjc=,Theirsverse,/project/theirsverse/,188,9,9188,2581.9984863424233,2928771.4777193107
cG9zdDoxOTIwMA==,Lives of Asuna,/project/livesofasuna/,189,17,30732,2513.4848625,58703110.35263274
cG9zdDoyMzMzMQ==,Sneaker Heads,/project/sneakerheads/,190,21,13286,2492.2279981347056,4899068.798305079
cG9zdDo2NjI1OA==,Planet XOLO,/project/planetxolo/,191,50,25867,2393.454745735751,8635280.110008286
cG9zdDo3MjI3,Pluto Alliance,/project/plutoalliance/,192,38,25036,2355.64623376,11212643.81568809
cG9zdDoxMjU2Mg==,Meta Legends,/project/metalegends/,193,22,20972,2268.631736425,29886787.319956105
cG9zdDoxODA3NQ==,Dour Darcels,/project/dourdarcels/,194,26,32379,2177.503194561281,30860917.520964086
cG9zdDo1NDE4,Bulls on the Block,/project/bullsontheblock/,195,23,37062,2077.2383306091374,16341205.584112016
cG9zdDoxMjkyMQ==,Oxya Origin,/project/oxyaorigin/,196,15,22430,2062.1846403305,48665182.181025565
cG9zdDoxMzA5MA==,Lil’ Heroes,/project/lilheroes/,197,11,18187,2052.08253698445,62883132.62265432
cG9zdDoyMjA1Nw==,Peacefall,/project/peacefall/,198,7,20640,2025.0915680000003,8262001.817460588
cG9zdDo2NTU2OQ==,8liens,/project/8liens/,199,27,30054,1953.7392796541797,13679551.26837489
cG9zdDoxODk2NQ==,MountVitruvius,/project/mountvitruvius/,200,3,4661,1935.1153111295455,10458771.736962054
cG9zdDoxMzY3Mw==,Alpha Kongs Club,/project/alphakongsclub/,201,15,23503,1897.24048392,22288304.46007489
cG9zdDoxODgwOQ==,Dented Feels,/project/dentedfeels/,202,32,34391,1884.6483554906667,16036323.316712126
cG9zdDoxOTIzMg==,Antonym,/project/antonym/,203,32,19582,1860.3410391900231,24691955.99842518
cG9zdDoxMzQ2NQ==,Long Lost,/project/longlost/,204,34,30215,1816.669544302,9531468.589039322
cG9zdDo2MzIz,Great Ape Society,/project/greatapesociety/,205,18,21207,1790.336374704375,5762715.150838867
cG9zdDoyODc1NDg=,Corntown,/project/corntown/,206,46,31730,1763.325530235,1985606.113935223
cG9zdDoxOTA3OA==,Critterz,/project/critterz/,207,5,24083,1732.3264484000001,26952760.48777708
cG9zdDoxMzA2Nw==,CryptoBatz by Ozzy Osbourne,/project/cryptobatz/,208,22,25076,1699.8871552939252,63910925.77249512
cG9zdDoyMzA0Nw==,Leave Me Alone,/project/leavemealone/,209,85,24006,1643.038530248677,3581762.1393458312
cG9zdDo2Mzk3Mw==,Megami,/project/megami/,210,21,21668,1626.8640925497023,3877568.624083069
cG9zdDo4ODI2,Jungle Freaks,/project/junglefreaks/,211,17,33295,1618.8552874404,76673867.56512244
cG9zdDo5NDMz,Party Degenerates,/project/partydegenerates/,212,16,21170,1610.907299955,43680304.6042697
cG9zdDoxMDA5MA==,Toy Boogers,/project/toyboogers/,213,15,12551,1557.9345212835,12924267.579720158
cG9zdDo2NDg1MQ==,Anata,/project/anata/,214,2,1914,1528.9149,13058836.862855002
cG9zdDoxMTE4NQ==,Little Lemon Friends,/project/littlelemonfriends/,215,44,34524,1518.8759100460104,22888110.15116008
cG9zdDo3MjMzOA==,Nyolings,/project/nyolings/,216,30,39213,1498.7540957427782,3797113.913676535
cG9zdDo2MDI5,CryptoZunks,/project/cryptozunks/,217,26,28992,1490.4546972230678,8650430.798856517
cG9zdDoxMjg5MA==,Fishy Fam,/project/fishyfam/,218,39,31456,1478.0805719,22417330.900649417
cG9zdDoxODAyNw==,Dippies,/project/dippies/,219,19,33851,1476.368459264,22645245.020490337
cG9zdDoyMzIwNg==,Pablos,/project/pablos/,220,33,31008,1463.6517812746363,4942436.234354126
cG9zdDoxMTI1MQ==,Based Fish Mafia,/project/basedfishmafia/,221,31,19940,1443.5529734,4685166.151297882
cG9zdDoxMjMzOA==,Birdez Gang,/project/birdezgang/,222,15,12115,1423.4352620749999,4844715.664442347
cG9zdDoxMTIyNw==,Dapper Dinos,/project/dapperdinos/,223,24,25085,1378.1312865,16621422.028066672
cG9zdDoxODk5MQ==,Rubber Duck Bath Party,/project/rubberduckbathparty/,224,25,22058,1349.3078697,6505395.927862106
cG9zdDoyMjc4Mg==,MOAR,/project/moar/,225,4,14470,1339.3711232,45458088.155194744
cG9zdDo2NDc3Mw==,Rags to Richie,/project/ragstorichie/,226,6,5641,1268.0515430871021,5054108.105456212
cG9zdDoxMjEyMA==,A.N.I.M.O.,/project/animo/,227,14,27069,1221.6649732235,12718800.474066565
cG9zdDoxMjQwMw==,8SIAN,/project/8sian/,228,19,22656,1182.2985899,17100087.804091554
cG9zdDoxODA2MQ==,Cosmodinos,/project/cosmodinos/,229,41,33443,1172.1061400402223,8343410.846055692
cG9zdDoxMjE5NA==,Budweiser,/project/budweiser/,230,4,4588,1164.9898768,6561754.154252628
cG9zdDoxMjEzNg==,Caked Apes,/project/cakedapes/,231,27,26935,1145.5010468605,16994740.920753863
cG9zdDoyMjk0Mw==,Okay Bears Yacht Club,/project/okaybearsyachtclub/,232,36,25151,1143.1476527700001,3501227.8309095725
cG9zdDoyMjAxNw==,Kiwami,/project/kiwami/,233,14,26869,1137.977188436875,46349386.66420236
cG9zdDo4ODcz,Cupcats,/project/cupcats/,234,9,24852,1126.7869757,24238240.12789369
cG9zdDo3MjM2Mg==,The Cryptomasks Project,/project/thecryptomasks/,235,1,710,1123.6760800000002,186194.08136878104
cG9zdDoxMjA5OA==,Deez Nuts,/project/deeznuts/,236,17,23119,1097.0395453400001,9781493.374149732
cG9zdDoyODc3OTM=,Digital Tycoons Club (Tykes),/project/tykes/,237,2,1588,1071.3023931,4533206.038696631
cG9zdDo2NTEwMQ==,Babbys,/project/babbys/,238,19,14370,1068.7355788420184,2223717.7211409383
cG9zdDoxMjk1OA==,Hungry Wolves,/project/hungrywolves/,239,21,9039,997.8290107,2517867.3671006924
cG9zdDo5Nzc1,Chain Runners,/project/chainrunners/,240,10,24619,981.131372,50738378.73601011
cG9zdDoxOTE1OQ==,the littles,/project/thelittles/,241,22,32087,972.2706843960689,43753072.263984285
